"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"LTIM",5044.95,5078,4945.05,5159.9,5008,-2.94,846359,4246250811.72,"27-Oct-2023"
"INFY",1521,1528.9,1498.2,1554.7,1511.45,-2.78,14673890,22204530348,"25-Oct-2023"
"WIPRO",489.25,490.75,479.55,500.45,488.15,-2.46,14323251,6957662405.76,"24-Jan-2024"
"HCLTECH",1560,1571.45,1508.2,1595.8,1556.8,-2.44,7468824,11511698431.2,"19-Jan-2024"
"TCS",3897,3938,3855,3972.95,3909,-1.61,5852485,22843653551.4,"19-Jan-2024"
"TECHM",1258.5,1279.9,1236.1,1282.75,1263,-1.54,2990908,3778234621.92,"02-Nov-2023"
"BAJAJFINSV",1593,1610,1583.4,1602.6,1584,-1.16,1570412,2501069559.44,"30-Jun-2023"
"DIVISLAB",3463,3476.35,3425,3465.3,3431,-0.99,409887,1411769695.23,"11-Aug-2023"
"TATACONSUM",1133.95,1140,1119,1133.95,1123.7,-0.9,1696377,1908458052.54,"19-May-2023"
"AXISBANK",1040.1,1047.25,1029.95,1035.6,1031,-0.44,9891194,10269433258.56,"07-Jul-2023"
"NTPC",324.5,327.25,321.15,325,324,-0.31,14709219,4777995607.77,"06-Feb-2024"
"HDFCBANK",1441,1450.75,1437.75,1445.75,1442.55,-0.22,22990163,33192967437.77,"16-May-2023"